"Kanton","bis 1399","von 1400 bis 1799","von 1800 bis 1999","von 2000 bis 2499","2500 und mehr","Nicht definiert"
"Zürich",142058,163778,185456,77976,124168,428
"Bern / Berne",118127,130917,137232,52752,57649,177
"Luzern",47655,52148,53057,20129,23103,79
"Uri",3799,4871,5848,2010,1912,4
"Schwyz",17076,21150,24781,10079,18045,37
"Obwalden",4385,5072,6508,2222,2511,3
"Nidwalden",5487,6121,6718,2484,4023,4
"Glarus",4759,5296,6527,2472,2763,5
"Zug",11384,14813,19522,7952,17336,54
"Fribourg / Freiburg",48461,45844,41539,14228,14106,34
"Solothurn",36575,37547,38095,15300,18424,31
"Basel-Stadt",14100,16427,17896,7755,11154,24
"Basel-Landschaft",31423,34390,37082,16138,22456,49
"Schaffhausen",9339,10139,11293,5229,6318,16
"Appenzell Ausserrhoden",6263,6470,8545,3169,4688,9
"Appenzell Innerrhoden",1669,1880,2520,977,1607,1
"St. Gallen",56451,62541,73164,28081,39278,66
"Graubünden / Grigioni / Grischun",18160,22490,34303,12537,17024,24
"Aargau",78134,88378,97506,40269,52708,104
"Thurgau",35257,37639,40162,16589,22224,48
"Ticino",68371,51833,50692,16302,24358,141
"Vaud",108669,101769,96523,34101,43534,91
"Valais / Wallis",43594,50491,56242,21321,25823,241
"Neuchâtel",28562,25617,23847,7584,7889,18
"Genève",58707,55360,50541,21286,33819,53
"Jura",11905,11353,10466,3155,3181,17

